Record Date,Account Description,Line Item Description,Position Amount (in Billions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
"2020-09-30","Assets","Cash and other monetary assets","1926.9","1","2020","4","2020","3","09","30"
"2020-09-30","Assets","Accounts receivable, net","321.2","2","2020","4","2020","3","09","30"
"2020-09-30","Assets","Direct loans and loan guarantees receivable, net","1577.4","3","2020","4","2020","3","09","30"
"2020-09-30","Assets","Inventories and related property, net","379.7","4","2020","4","2020","3","09","30"
"2020-09-30","Assets","General property, plant and equipment, net","1145.0","5","2020","4","2020","3","09","30"
"2020-09-30","Assets","Securities and investments","121.9","6","2020","4","2020","3","09","30"
"2020-09-30","Assets","Investments in special purpose vehicles","108.4","7","2020","4","2020","3","09","30"
"2020-09-30","Assets","Investments in government-sponsored enterprises","108.9","8","2020","4","2020","3","09","30"
"2020-09-30","Assets","Other assets","261.3","9","2020","4","2020","3","09","30"
"2020-09-30","Assets","Total assets","5950.7","10","2020","4","2020","3","09","30"
"2020-09-30","Liabilities","Accounts payable","105.1","11","2020","4","2020","3","09","30"
"2020-09-30","Liabilities","Federal debt and interest payable","21082.9","12","2020","4","2020","3","09","30"
"2020-09-30","Liabilities","Federal employee and veteran benefits payable","9409.3","13","2020","4","2020","3","09","30"
"2020-09-30","Liabilities","Environmental and disposal liabilities","602.7","14","2020","4","2020","3","09","30"
"2020-09-30","Liabilities","Benefits due and payable","256.3","15","2020","4","2020","3","09","30"
"2020-09-30","Liabilities","Loan guarantees liability","520.1","16","2020","4","2020","3","09","30"
"2020-09-30","Liabilities","Insurance and guarantee program liabilities","199.3","17","2020","4","2020","3","09","30"
"2020-09-30","Liabilities","Other liabilities","568.2","18","2020","4","2020","3","09","30"
"2020-09-30","Liabilities","Total liabilities","32743.9","19","2020","4","2020","3","09","30"
"2020-09-30","Liabilities","Unmatched transactions and balances","3.1","20","2020","4","2020","3","09","30"
"2020-09-30","Net position","Funds from Dedicated Collections","3474.4","21","2020","4","2020","3","09","30"
"2020-09-30","Net position","Funds other than those from Dedicated Collections","-30270.7","22","2020","4","2020","3","09","30"
"2020-09-30","Net position","Total net position","-26796.3","23","2020","4","2020","3","09","30"
"2020-09-30","Net position","Total liabilities and net position*","5950.7","24","2020","4","2020","3","09","30"
"2019-09-30","Assets","Cash and other monetary assets","524.6","1","2019","4","2019","3","09","30"
"2019-09-30","Assets","Accounts and taxes receivable, net","238.0","2","2019","4","2019","3","09","30"
"2019-09-30","Assets","Loans receivable, net","1425.8","3","2019","4","2019","3","09","30"
"2019-09-30","Assets","Inventories and related property, net","355.7","4","2019","4","2019","3","09","30"
"2019-09-30","Assets","Property, plant, and equipment, net","1106.9","5","2019","4","2019","3","09","30"
"2019-09-30","Assets","Debt and equity securities","118.3","6","2019","4","2019","3","09","30"
"2019-09-30","Assets","Investments in government-sponsored enterprises","112.1","7","2019","4","2019","3","09","30"
"2019-09-30","Assets","Other assets","110.6","8","2019","4","2019","3","09","30"
"2019-09-30","Assets","Total assets","3992.0","9","2019","4","2019","3","09","30"
"2019-09-30","Liabilities","Accounts payable","98.0","10","2019","4","2019","3","09","30"
"2019-09-30","Liabilities","Federal debt securities held by the public and accrued interest","16861.0","11","2019","4","2019","3","09","30"
"2019-09-30","Liabilities","Federal employee and veteran benefits payable","8440.3","12","2019","4","2019","3","09","30"
"2019-09-30","Liabilities","Environmental and disposal liabilities","595.4","13","2019","4","2019","3","09","30"
"2019-09-30","Liabilities","Benefits due and payable","223.6","14","2019","4","2019","3","09","30"
"2019-09-30","Liabilities","Insurance and guarantee program liabilities","194.5","15","2019","4","2019","3","09","30"
"2019-09-30","Liabilities","Loan guarantee liabilities","21.7","16","2019","4","2019","3","09","30"
"2019-09-30","Liabilities","Other liabilities","510.3","17","2019","4","2019","3","09","30"
"2019-09-30","Liabilities","Total liabilities","26944.8","18","2019","4","2019","3","09","30"
"2019-09-30","Net position","Funds from Dedicated Collections","3517.1","19","2019","4","2019","3","09","30"
"2019-09-30","Net position","Funds other than those from Dedicated Collections","-26469.9","20","2019","4","2019","3","09","30"
"2019-09-30","Net position","Total net position","-22952.8","21","2019","4","2019","3","09","30"
"2019-09-30","Net position","Total liabilities and net position","3992.0","22","2019","4","2019","3","09","30"
"2018-09-30","Assets","Cash and other monetary assets","507.5","1","2018","4","2018","3","09","30"
"2018-09-30","Assets","Accounts and taxes receivable, net","144.9","2","2018","4","2018","3","09","30"
"2018-09-30","Assets","Loans receivable, net","1419.1","3","2018","4","2018","3","09","30"
"2018-09-30","Assets","Inventories and related property, net","337.5","4","2018","4","2018","3","09","30"
"2018-09-30","Assets","Property, plant, and equipment, net","1090.5","5","2018","4","2018","3","09","30"
"2018-09-30","Assets","Debt and equity securities","110.3","6","2018","4","2018","3","09","30"
"2018-09-30","Assets","Investments in government-sponsored enterprises","113.2","7","2018","4","2018","3","09","30"
"2018-09-30","Assets","Other assets","113.7","8","2018","4","2018","3","09","30"
"2018-09-30","Assets","Total assets","3836.7","9","2018","4","2018","3","09","30"
"2018-09-30","Liabilities","Accounts payable","86.7","10","2018","4","2018","3","09","30"
"2018-09-30","Liabilities","Federal debt securities held by the public and accrued interest","15812.7","11","2018","4","2018","3","09","30"
